,0,1,2
185,22.267574,2.8830175,-26.25461
186,-22.754045,-55.57712,21.779333
187,9.229735,-42.697323,32.021122
188,-18.921406,-13.789538,48.247696
189,26.437136,-76.78579,2.5127895
190,-17.074675,4.06733,-17.580181
191,-17.758123,8.747648,28.85395
192,-8.472506,6.4090223,25.87941
193,7.8484554,18.509718,-32.154575
194,-65.929794,-15.193107,38.917343
195,-33.4515,-18.198923,14.29841
196,-71.02676,1.599378,34.13998
197,-74.796005,1.2097962,25.20919
198,-77.78979,-3.029408,38.697002
199,-36.225937,47.364285,-9.33249
200,-69.5209,-5.9310055,35.781864
201,-47.977436,44.686142,-8.865684
202,-41.374287,52.949284,-12.637006
203,-29.13782,4.4789505,15.802803
204,-35.402847,57.707073,-11.628353
205,-70.58614,-5.5294194,23.759789
206,-74.28017,-10.938949,34.17364
207,-76.72325,-5.2317514,28.690962
208,-81.54924,-1.0110487,34.672768
209,-69.44322,-14.782015,31.437887
210,-11.859176,-43.81607,6.8569174
211,-60.96831,-13.160583,43.848667
212,-1.447715,-38.61251,11.426521
213,-13.486452,-52.258137,21.772953
214,-31.847902,-2.2272704,59.38644
215,-40.12116,37.86787,-14.9181795
216,16.03867,-4.0388637,-19.57608
217,10.771053,-6.3573465,-22.025864
218,7.231573,-1.210196,-18.102161
219,10.21024,1.5588484,-22.25633
220,14.709729,-3.2330368,-26.71479
221,7.033319,-1.8959734,-28.790052
222,-69.89347,-3.1203365,29.245255
223,-34.05625,31.71587,11.793826
224,-37.882935,36.15568,9.920556
225,-38.5704,57.387207,-3.028188
226,-27.308472,75.05665,-14.696608
227,-27.047573,45.299515,6.414709
228,-30.966822,37.866776,7.682185
229,-19.821157,-45.823288,28.391703
230,-23.897856,-30.50396,28.629475
231,-13.696816,-43.757595,24.808481
232,-43.40431,31.953865,-29.674105
233,-32.994007,69.46202,-27.18062
234,-35.232594,68.54761,-21.330967
235,-48.926426,39.06979,-4.3315563
236,-39.81585,34.130085,-2.206512
237,-51.127987,45.043026,-29.3098
238,-43.57236,35.297596,-10.352439
239,-43.93755,41.037636,-25.861877
240,-77.19015,13.103171,7.0998716
241,22.884022,-22.786156,-41.107407
242,-33.170807,79.26377,-20.603235
243,-42.31351,68.9449,-17.798016
244,-36.42105,33.688328,-22.839489
245,-42.961964,25.1305,-29.550737
246,-34.93243,40.269527,-26.626797
247,-39.23855,60.236298,-20.00632
248,-44.052074,49.356243,-29.288744
249,-64.557594,9.65189,21.59999
250,77.36671,0.51669073,-24.143578
251,59.208023,-23.385063,-10.954903
252,5.943416,-76.633385,-12.235681
253,-50.546665,-28.031223,7.038562
254,-5.792673,49.957073,-14.38453
255,20.256979,-19.77341,-52.780937
256,26.249228,29.602472,-82.58773
257,-41.24326,-59.041885,-2.3051045
258,63.56393,-34.51357,-14.078821
259,-49.200565,-36.671627,29.97842
260,19.478313,-52.656055,-56.982513
261,-50.412045,17.799282,-17.750135
