batch,epochs,evaluation_0,evaluation_1,hidden,optimizer
256.0,700.0,0.35997813969070563,0.5022532071689245,64.0,SGD
32.0,100.0,0.16900523888923305,0.3541298993317296,100.0,rmsprop
32.0,300.0,0.13809722374242686,0.32775972766333505,100.0,rmsprop
32.0,500.0,0.11979921621271045,0.2889699493594381,100.0,rmsprop
32.0,700.0,0.13926088947596452,0.30746262575422056,100.0,rmsprop
64.0,100.0,0.14264136628540855,0.3157414166450645,100.0,rmsprop
64.0,300.0,0.15212526649000874,0.34472812045585505,100.0,rmsprop
64.0,500.0,0.12099885068747668,0.2995072629436515,100.0,rmsprop
64.0,700.0,0.1447393693669279,0.3059820714732604,100.0,rmsprop
128.0,100.0,0.16797834039142562,0.33468933533185585,100.0,rmsprop
128.0,300.0,0.204455729952616,0.3809521627803438,100.0,rmsprop
128.0,500.0,0.13648345807994638,0.3137041277099657,100.0,rmsprop
128.0,700.0,0.11846075665684133,0.2932344805301868,100.0,rmsprop
256.0,100.0,0.204288749088892,0.3534518823762239,100.0,rmsprop
256.0,300.0,0.19990513388042544,0.38798926086848057,100.0,rmsprop
256.0,500.0,0.2495400244557161,0.3783141723581733,100.0,rmsprop
256.0,700.0,0.3166594058978108,0.4060670687832342,100.0,rmsprop
32.0,100.0,0.2102775465146079,0.3669411653944145,100.0,adam
32.0,300.0,0.1514729922858412,0.33604462320530337,100.0,adam
32.0,500.0,0.1331162113544423,0.3156377670156179,100.0,adam
32.0,700.0,0.1920607449465312,0.34585713834132786,100.0,adam
64.0,100.0,0.1403051823064712,0.31553283920573955,100.0,adam
64.0,300.0,0.13613204931136286,0.3063690396602823,100.0,adam
64.0,500.0,0.1771016588986682,0.3536503369388824,100.0,adam
64.0,700.0,0.18428161285695185,0.3454634382531763,100.0,adam
128.0,100.0,0.16294899137324484,0.34454299233813,100.0,adam
128.0,300.0,0.16421309352256652,0.3428942052442274,100.0,adam
128.0,500.0,0.11788386508042464,0.2848877253796513,100.0,adam
128.0,700.0,0.2709698232386218,0.4120627786880285,100.0,adam
256.0,100.0,0.32521286047654985,0.471197446108735,100.0,adam
256.0,300.0,0.1751265207342962,0.3635741353434031,100.0,adam
256.0,500.0,0.202097506049796,0.3755852073086375,100.0,adam
256.0,700.0,0.1503394684350153,0.31612938633885823,100.0,adam
32.0,100.0,0.3724013122974266,0.4911938169545976,100.0,SGD
32.0,300.0,0.2038180539752932,0.3737466680209084,100.0,SGD
32.0,500.0,0.15024199180772085,0.32670126099885416,100.0,SGD
32.0,700.0,0.12049312825862835,0.29962146069970136,100.0,SGD
64.0,100.0,0.3892940049962669,0.5310708960961512,100.0,SGD
64.0,300.0,0.2985183741836125,0.4530923038775502,100.0,SGD
64.0,500.0,0.16918182924584832,0.34642712878005505,100.0,SGD
64.0,700.0,0.17046174516972795,0.3534187310201253,100.0,SGD
128.0,100.0,0.3595162972862301,0.5028299800484773,100.0,SGD
128.0,300.0,0.36587972225926296,0.5098576193456598,100.0,SGD
128.0,500.0,0.3996870448099754,0.5128183701618082,100.0,SGD
128.0,700.0,0.22298190228491388,0.3918716673780634,100.0,SGD
256.0,100.0,0.2458302890581469,0.4208362560063981,100.0,SGD
256.0,300.0,0.3071984262231168,0.4610507634450805,100.0,SGD
256.0,500.0,0.3790522141657584,0.5131802329259607,100.0,SGD
256.0,700.0,0.4035492199073459,0.5198567296246239,100.0,SGD
32.0,100.0,0.15395623237819694,0.32645610626957,128.0,rmsprop
32.0,300.0,0.14785728612897675,0.3350621413800024,128.0,rmsprop
32.0,500.0,0.12567628064825995,0.2994247047152377,128.0,rmsprop
32.0,700.0,0.1358246942522935,0.3130467910720892,128.0,rmsprop
64.0,100.0,0.148542939408099,0.3154431274223096,128.0,rmsprop
64.0,300.0,0.13455616183719546,0.3114774595091275,128.0,rmsprop
64.0,500.0,0.11472984144664798,0.28699489708760856,128.0,rmsprop
64.0,700.0,0.1439779027877007,0.3213890222736197,128.0,rmsprop
128.0,100.0,0.11790568348104208,0.28429838105337835,128.0,rmsprop
128.0,300.0,0.1462320138882263,0.3285290831773657,128.0,rmsprop
128.0,500.0,0.13095260544142126,0.3039551971075525,128.0,rmsprop
128.0,700.0,0.1950013449611692,0.35235251359328656,128.0,rmsprop
256.0,100.0,0.13239361742557873,0.3026645814345801,128.0,rmsprop
256.0,300.0,0.17500826565189398,0.3594266837570483,128.0,rmsprop
256.0,500.0,0.16359255951616689,0.3377480955246884,128.0,rmsprop
256.0,700.0,0.15672914908515267,0.3339518999008601,128.0,rmsprop
32.0,100.0,0.18686707219878712,0.3576493284013746,128.0,adam
32.0,300.0,0.11789204717380786,0.2929713661196895,128.0,adam
32.0,500.0,0.14079991043774878,0.3096681772048199,128.0,adam
32.0,700.0,0.20012815309573947,0.3616291620857601,128.0,adam
64.0,100.0,0.17693630836300928,0.3658849522516776,128.0,adam
64.0,300.0,0.2103418381595604,0.3596599886167797,128.0,adam
64.0,500.0,0.14596165282219847,0.3078905524945593,128.0,adam
64.0,700.0,0.3638498188470895,0.4066724075606445,128.0,adam
128.0,100.0,0.2503958837567345,0.3953895565491947,128.0,adam
128.0,300.0,0.16642674247774494,0.3454489273609218,128.0,adam
128.0,500.0,0.17413269046623753,0.33302651080900914,128.0,adam
128.0,700.0,0.19066996228265026,0.3308428169403291,128.0,adam
256.0,100.0,0.19620512080805666,0.3812812024492791,128.0,adam
